Date,Opponent,Location,Points For,Points Against
1991-09-28,Clemson,Away,7,9
1991-09-19,Virginia,Home,24,21
1991-09-14,Boston College,Away,30,14
1991-08-28,Penn State,Neutral,22,34
1990-12-01,Georgia,Away,40,23
1990-11-17,Wake Forest,Away,42,7
1990-11-10,Virginia Tech,Home,6,3
1990-11-03,Virginia,Away,41,38
1990-10-27,Duke,Home,48,31
1990-10-20,North Carolina,Away,13,13
1990-10-13,Clemson,Home,21,19
1990-10-06,Maryland,Away,31,3
1990-09-29,South Carolina,Home,27,6
1990-09-22,Tennessee-Chattanooga,Home,44,9
1990-09-08,North Carolina State,Home,21,13
1990-01-01,Nebraska,Neutral,45,21
1989-12-02,Georgia,Home,33,22
1989-11-25,Boston College,Home,13,12
1989-11-18,Wake Forest,Home,43,14
1989-11-04,Western Carolina,Home,34,7
1989-10-28,Duke,Away,19,30
1989-10-21,North Carolina,Home,17,14
1989-10-14,Clemson,Away,30,14
1989-10-07,Maryland,Home,28,24
1989-09-23,South Carolina,Away,10,21
1989-09-16,Virginia,Home,10,17
1989-09-09,North Carolina State,Away,28,38
1988-11-26,Georgia,Away,3,24
1988-11-12,Wake Forest,Away,24,28
1988-11-05,Virginia Military Institute,Home,34,7
1988-10-29,Duke,Home,21,31
1988-10-22,North Carolina,Away,17,20
1988-10-15,South Carolina,Home,34,0
1988-10-08,Maryland,Away,8,13
1988-10-01,North Carolina State,Home,6,14
1988-09-24,Clemson,Home,13,30
1988-09-17,Virginia,Away,16,17
1988-09-10,Tennessee-Chattanooga,Home,24,10
1987-11-28,Georgia,Home,16,30
1987-11-21,Wake Forest,Home,6,33
1987-11-07,Virginia,Home,14,23
1987-10-31,Duke,Away,14,48
1987-10-24,Tennessee,Away,15,29
1987-10-17,Auburn,Home,10,20
1987-10-10,Indiana State,Home,38,0
1987-10-03,North Carolina State,Away,0,17
1987-09-26,Clemson,Away,12,33
1987-09-19,North Carolina,Home,23,30
1987-09-12,Citadel,Home,51,12
1986-11-29,Georgia,Away,24,31
1986-11-22,Wake Forest,Away,21,24
1986-11-08,Virginia Military Institute,Home,52,6
1986-11-01,Duke,Home,34,6
1986-10-25,Tennessee,Home,14,13
1986-10-18,Auburn,Away,10,31
1986-10-11,North Carolina State,Home,59,21
1986-10-04,North Carolina,Away,20,21
1986-09-27,Clemson,Home,3,27
1986-09-20,Virginia,Away,28,14
1986-09-13,Furman,Home,17,17
1985-12-31,Michigan State,Neutral,17,14
1985-11-30,Georgia,Home,20,16
1985-11-16,Wake Forest,Home,41,10
1985-11-09,Tennessee-Chattanooga,Home,35,7
1985-11-02,Duke,Away,9,0
1985-10-26,Tennessee,Away,6,6
1985-10-19,Auburn,Home,14,17
1985-10-12,Western Carolina,Home,24,17
1985-10-05,North Carolina,Home,31,0
1985-09-28,Clemson,Away,14,3
1985-09-21,Virginia,Home,13,24
1985-09-14,North Carolina State,Away,28,18
1984-12-01,Georgia,Away,35,18
1984-11-17,Wake Forest,Away,24,7
1984-11-10,North Carolina,Away,17,24
1984-11-03,Duke,Home,31,3
1984-10-27,Tennessee,Home,21,24
1984-10-20,Auburn,Away,34,48
1984-10-13,Virginia,Away,20,20
1984-10-06,North Carolina State,Home,22,27
1984-09-29,Clemson,Home,28,21
1984-09-22,Citadel,Home,48,3
1984-09-15,Alabama,Home,16,6
1983-11-26,Georgia,Home,24,27
1983-11-19,Wake Forest,Home,49,33
1983-11-03,Virginia,Home,31,27
1983-10-29,Duke,Away,26,32
1983-10-22,Tennessee,Away,3,37
1983-10-15,Auburn,Home,13,31
1983-10-08,North Carolina State,Away,20,10
1983-10-01,North Carolina,Home,21,38
1983-09-24,Clemson,Away,14,41
1983-09-17,Furman,Home,14,17
1983-09-10,Alabama,Neutral,7,20
1982-11-27,Georgia,Away,18,38
1982-11-13,Wake Forest,Away,45,7
1982-11-06,Virginia,Home,38,32
1982-10-30,Duke,Home,21,38
1982-10-23,Tennessee,Home,31,21
1982-10-16,Auburn,Away,0,24
1982-10-09,Tulane,Away,19,13
1982-10-02,North Carolina,Away,0,41
1982-09-25,Memphis,Away,24,20
1982-09-18,Citadel,Home,36,7
1982-09-11,Alabama,Home,7,45
1981-12-05,Georgia,Home,7,44
1981-11-14,Navy,Home,14,20
1981-11-07,Notre Dame,Away,3,35
1981-10-31,Duke,Home,24,38
1981-10-24,Tulane,Away,10,27
1981-10-17,Auburn,Home,7,31
1981-10-10,Tennessee,Away,7,10
1981-10-03,North Carolina,Home,7,28
1981-09-26,Memphis,Home,15,28
1981-09-19,Florida,Away,6,27
1981-09-12,Alabama,Neutral,24,21
1980-11-29,Georgia,Away,20,38
1980-11-15,Navy,Home,8,19
1980-11-08,Notre Dame,Home,3,3
1980-11-01,Duke,Away,12,17
1980-10-25,Tulane,Home,14,31
1980-10-18,Auburn,Away,14,17
1980-10-11,Tennessee,Home,10,23
1980-10-04,North Carolina,Away,0,33
1980-09-27,Memphis,Home,17,8
1980-09-20,Florida,Home,12,45
1980-09-06,Alabama,Neutral,3,26
1979-11-24,Georgia,Home,3,16
1979-11-17,Navy,Home,24,14
1979-11-10,Air Force,Home,21,0
1979-11-03,Duke,Home,24,14
1979-10-27,Tulane,Away,7,12
1979-10-20,Auburn,Home,14,38
1979-10-13,Tennessee,Away,0,31
1979-10-06,Notre Dame,Away,13,21
1979-09-29,William & Mary,Home,33,7
1979-09-22,Florida,Away,7,7
1979-09-08,Alabama,Home,6,30
1978-12-25,Purdue,Neutral,21,41
1978-12-02,Georgia,Away,28,29
1978-11-18,Notre Dame,Home,21,38
1978-11-11,Air Force,Away,42,21
1978-10-28,Florida,Home,17,13
1978-10-21,Auburn,Away,24,10
1978-10-14,Miami-FL,Home,24,19
1978-10-07,South Carolina,Home,6,3
1978-09-30,Citadel,Home,28,0
1978-09-23,Tulane,Home,27,17
1978-09-16,California,Home,22,34
1978-09-09,Duke,Away,10,28
1977-11-26,Georgia,Home,16,7
1977-11-12,Navy,Away,16,20
1977-11-05,Notre Dame,Away,14,69
1977-10-29,Duke,Home,24,25
1977-10-22,Tulane,Away,38,14
1977-10-15,Auburn,Home,38,21
1977-10-08,Tennessee,Away,24,8
1977-10-01,Air Force,Home,30,3
1977-09-24,Clemson,Home,14,31
1977-09-17,Miami-FL,Home,10,6
1977-09-10,South Carolina,Away,0,17
1976-11-27,Georgia,Away,10,13
1976-11-13,Navy,Away,28,34
1976-11-06,Notre Dame,Home,23,14
1976-10-30,Duke,Away,7,31
1976-10-23,Tulane,Home,28,16
1976-10-16,Auburn,Away,28,10
1976-10-09,Tennessee,Home,7,42
1976-10-02,Virginia,Home,35,14
1976-09-25,Clemson,Home,24,24
1976-09-18,Pittsburgh,Home,14,42
1976-09-11,South Carolina,Home,17,27
1975-11-27,Georgia,Home,26,42
1975-11-15,Navy,Home,14,13
1975-11-08,Notre Dame,Away,3,24
1975-11-01,Duke,Home,21,6
1975-10-25,Tulane,Away,23,0
1975-10-18,Auburn,Home,27,31
1975-10-11,Virginia Military Institute,Home,38,10
1975-10-04,Florida State,Home,30,0
1975-09-27,Clemson,Home,33,28
1975-09-20,Miami-FL,Home,38,23
1975-09-13,South Carolina,Away,17,23
1974-11-30,Georgia,Away,34,14
1974-11-16,Navy,Home,22,0
1974-11-02,Duke,Away,0,9
1974-10-26,Tulane,Home,27,7
1974-10-19,Auburn,Away,22,31
1974-10-12,North Carolina,Home,29,28
1974-10-05,Virginia,Home,28,24
1974-09-28,Clemson,Away,17,21
1974-09-21,Pittsburgh,Home,17,27
1974-09-14,South Carolina,Home,35,20
1974-09-09,Notre Dame,Home,7,31
1973-12-01,Georgia,Home,3,10
1973-11-17,Navy,Neutral,26,22
1973-11-10,Virginia Military Institute,Home,36,7
1973-11-03,Duke,Home,12,10
1973-10-27,Tulane,Away,14,23
1973-10-20,Auburn,Home,10,24
1973-10-13,Tennessee,Away,14,20
1973-10-06,Army,Home,14,10
1973-09-29,Clemson,Home,29,21
1973-09-22,Southern California,Home,6,23
1973-09-15,South Carolina,Away,28,41
1972-12-18,Iowa State,Neutral,31,30
1972-12-02,Georgia,Away,7,27
1972-11-18,Navy,Home,30,7
1972-11-11,Boston College,Home,42,10
1972-11-04,Duke,Away,14,20
1972-10-28,Tulane,Home,21,7
1972-10-21,Auburn,Away,14,24
1972-10-07,Clemson,Home,31,9
1972-09-30,Rice,Home,36,36
1972-09-23,Michigan State,Away,21,16
1972-09-16,South Carolina,Home,34,6
1972-09-09,Tennessee,Home,3,34
1971-12-30,Mississippi,Neutral,18,41
1971-11-25,Georgia,Home,24,28
1971-11-13,Florida State,Home,12,6
1971-11-06,Navy,Home,34,21
1971-10-30,Duke,Home,21,0
1971-10-23,Tulane,Away,24,16
1971-10-16,Auburn,Home,14,31
1971-10-09,Tennessee,Away,6,10
1971-10-02,Clemson,Home,24,14
1971-09-25,Army,Home,13,16
1971-09-18,Michigan State,Home,10,0
1971-09-11,South Carolina,Away,7,24
1970-12-19,Texas Tech,Neutral,17,9
1970-11-28,Georgia,Away,17,7
1970-11-14,Notre Dame,Away,7,10
1970-11-07,Navy,Home,30,8
1970-10-31,Duke,Away,24,16
1970-10-24,Tulane,Home,20,6
1970-10-17,Auburn,Away,7,31
1970-10-10,Tennessee,Home,6,17
1970-10-03,Clemson,Home,28,7
1970-09-26,Miami-FL,Home,31,21
1970-09-19,Florida State,Home,23,13
1970-09-12,South Carolina,Home,23,20
1969-11-29,Georgia,Home,6,0
1969-11-15,Notre Dame,Home,20,38
1969-11-08,Tulane,Away,7,14
1969-11-01,Duke,Home,20,7
1969-10-25,Southern California,Away,18,29
1969-10-18,Auburn,Home,14,17
1969-10-11,Tennessee,Away,8,26
1969-10-04,Clemson,Home,10,21
1969-09-27,Baylor,Home,17,10
1969-09-20,Southern Methodist,Home,24,21
1968-11-30,Georgia,Away,8,47
1968-11-16,Notre Dame,Away,6,34
1968-11-09,Navy,Home,15,35
1968-11-02,Duke,Away,30,46
1968-10-26,Tulane,Home,23,19
1968-10-19,Auburn,Neutral,21,20
1968-10-12,Tennessee,Home,7,24
1968-10-05,Clemson,Home,24,21
1968-09-28,Miami-FL,Home,7,10
1968-09-21,Texas Christian,Home,17,7
1967-11-25,Georgia,Home,14,21
1967-11-18,Notre Dame,Home,3,36
1967-11-10,Miami-FL,Away,7,49
1967-11-04,Duke,Home,19,7
1967-10-28,Tulane,Away,12,23
1967-10-21,Auburn,Home,10,28
1967-10-14,Tennessee,Away,13,24
1967-10-07,Clemson,Home,10,0
1967-09-30,Texas Christian,Home,24,7
1967-09-23,Vanderbilt,Away,17,10
1966-11-26,Georgia,Away,14,23
1966-11-12,Penn State,Home,21,0
1966-11-05,Virginia,Home,14,13
1966-10-29,Duke,Away,48,7
1966-10-22,Tulane,Home,35,17
1966-10-15,Auburn,Neutral,17,3
1966-10-08,Tennessee,Home,6,3
1966-10-01,Clemson,Home,13,12
1966-09-24,Vanderbilt,Home,42,0
1966-09-17,Texas A&M,Home,38,3
1966-01-02,Florida,Neutral,12,27
1965-12-31,Texas Tech,Neutral,31,21
1965-11-27,Georgia,Home,7,17
1965-11-13,Virginia,Home,42,19
1965-11-06,Tennessee,Away,7,21
1965-10-30,Duke,Home,35,23
1965-10-23,Navy,Home,37,16
1965-10-16,Auburn,Home,23,14
1965-10-09,Tulane,Away,13,10
1965-10-02,Clemson,Home,38,6
1965-09-25,Texas A&M,Home,10,14
1965-09-18,Vanderbilt,Away,10,10
1964-11-28,Georgia,Away,0,7
1964-11-14,Alabama,Home,7,24
1964-11-07,Tennessee,Home,14,22
1964-10-31,Duke,Away,21,8
1964-10-24,Tulane,Home,7,6
1964-10-17,Auburn,Neutral,7,3
1964-10-09,Navy,Neutral,17,0
1964-10-03,Clemson,Home,14,7
1964-09-26,Miami-FL,Home,20,0
1964-09-19,Vanderbilt,Home,14,2
1963-11-30,Georgia,Home,14,3
1963-11-16,Alabama,Neutral,11,27
1963-11-09,Florida State,Home,15,7
1963-11-02,Duke,Home,30,6
1963-10-26,Tulane,Away,17,3
1963-10-19,Auburn,Home,21,29
1963-10-12,Tennessee,Away,23,7
1963-10-05,Louisiana State,Away,6,7
1963-09-28,Clemson,Home,27,0
1963-09-14,Florida,Home,9,0
1962-12-22,Missouri,Neutral,10,14
1962-12-01,Georgia,Away,37,6
1962-11-17,Alabama,Home,7,6
1962-11-10,Florida State,Home,14,14
1962-11-03,Duke,Away,20,9
1962-10-27,Tulane,Home,42,12
